Stock,Entry_Date,Price_3Mo_Ago,Price_Today,Strategy_Return_%,Above_50SMA_At_Entry
GPIL,2026-04-09,285.15,254.5,-10.75,YES
KCPSUGIND,2026-04-10,24.65,21.96,-10.91,YES
VIKASLIFE,2026-04-10,1.63,1.45,-11.04,YES
UNIONBANK,2026-04-10,183.63,163.09,-11.18,YES
HEROMOTOCO,2026-04-10,5466.5,4852.6,-11.23,YES
REGENCERAM,2026-04-08,45.72,40.5,-11.42,YES
UMESLTD,2026-04-08,6.85,6.04,-11.82,YES
EASEMYTRIP,2026-04-10,8.01,7.0,-12.61,YES
INDOTHAI,2026-04-09,290.1,253.38,-12.66,YES
VIDHIING,2026-04-08,327.75,285.55,-12.88,YES
WSI,2026-04-08,76.09,66.2,-13.0,YES
CSBBANK,2026-04-10,404.9,352.2,-13.02,YES
JINDALSTEL,2026-04-10,1219.2,1054.0,-13.55,YES
MUTHOOTFIN,2026-04-10,3543.93,3054.9,-13.8,YES
SUNTV,2026-04-10,598.1,515.3,-13.84,YES
BAYERCROP,2026-04-10,4805.3,4135.6,-13.94,YES
RPSGVENT,2026-04-09,966.7,829.85,-14.16,YES
VIRINCHI,2026-04-10,18.86,16.18,-14.21,YES
KAYNES,2026-04-10,3896.3,3333.8,-14.44,YES
KALYANKJIL,2026-04-10,449.15,382.05,-14.94,YES
ORICONENT,2026-04-09,66.94,56.92,-14.97,YES
ASTRAL,2026-04-10,1630.0,1385.0,-15.03,YES
RAMKY,2026-04-09,474.85,403.4,-15.05,YES
INDIANB,2026-04-10,947.56,798.95,-15.68,YES
ESSARSHPNG,2026-04-10,27.85,23.48,-15.69,YES
BSHSL,2026-04-08,107.79,90.49,-16.05,YES
FORCEMOT,2026-04-10,22617.0,18804.0,-16.86,YES
ONGC,2026-04-10,286.5,237.84,-16.98,YES
KRITI,2026-04-08,85.65,71.06,-17.03,YES
SWASTIK,2026-04-08,17.95,14.65,-18.38,YES
GUJAPOLLO,2026-04-08,440.0,357.8,-18.68,YES
OSWALAGRO,2026-04-09,51.86,41.71,-19.57,YES
SIKKO,2026-04-09,4.98,3.77,-24.3,YES
UMAEXPORTS,2026-04-08,29.13,21.98,-24.55,YES
DCI,2026-04-08,385.15,280.8,-27.09,YES
ASIANTILES,2026-04-10,69.53,50.0,-28.09,YES
AVANTIFEED,2026-04-10,1459.1,955.6,-34.51,YES
