Stock,Reason
TARC,Not above 150MA/200MA
TARIL,MA alignment failed (50>150>200)
TATACAP,Insufficient history (183 rows)
TATACHEM,Not above 150MA/200MA
TATACOMM,MA alignment failed (50>150>200)
TATACONSUM,Not above 150MA/200MA
TATAELXSI,Not above 150MA/200MA
TATAINVEST,Not above 150MA/200MA
TATAPOWER,Not above 150MA/200MA
TATASTEEL,Not above 150MA/200MA
TATATECH,MA alignment failed (50>150>200)
TBOTEK,MA alignment failed (50>150>200)
TCS,Not above 150MA/200MA
TDPOWERSYS,No confirmed retest yet
TECHM,Not above 150MA/200MA
TECHNOE,Not above 150MA/200MA
TEGA,Not above 150MA/200MA
TEJASNET,MA alignment failed (50>150>200)
TENNIND,Insufficient history (158 rows)
TEXRAIL,MA alignment failed (50>150>200)
THANGAMAYL,Too extended above 50MA (33.1%)
THELEELA,MA alignment failed (50>150>200)
THERMAX,No fresh 50MA crossover in last 10 days
THOMASCOOK,Not above 150MA/200MA
